,Lat,Lon,Base,Hour,KMEANS5_labels,AGGC_label,Day,KMEANS_label,DBSCAN_label
542,40.7357,-73.9833,2,7,2,0,1,1,0
543,40.7564,-73.9729,3,20,7,2,3,7,0
544,40.7389,-74.0076,3,4,2,0,5,4,0
545,40.7652,-73.9915,1,14,7,2,1,7,0
546,40.7497,-73.9952,3,16,7,2,2,4,0
547,40.7261,-73.9956,3,17,2,0,0,1,0
548,40.7237,-74.0113,3,16,2,0,4,3,0
550,40.7342,-73.9891,1,22,2,0,3,1,0
551,40.7688,-73.9888,3,16,7,2,2,7,0
552,40.7671,-73.9841,2,8,7,2,4,7,0
553,40.7153,-74.0056,3,16,2,0,1,3,0
554,40.7261,-74.0075,3,16,2,0,2,3,0
555,40.7599,-73.9721,1,14,7,2,1,7,0
556,40.7622,-73.9704,2,14,7,2,2,7,0
557,40.774,-73.9609,1,11,1,2,5,2,0
559,40.744,-73.9512,3,6,7,0,0,2,0
560,40.7639,-73.9918,2,14,7,2,4,7,0
561,40.7589,-73.971,2,19,7,2,3,7,0
562,40.7706,-73.96,1,17,1,2,6,2,0
563,40.7404,-73.9929,2,0,2,2,1,4,0
564,40.78,-73.9608,3,14,1,2,5,2,0
566,40.7518,-73.9886,1,16,7,2,3,4,0
567,40.7537,-73.9786,2,18,7,2,4,7,0
568,40.7256,-74.0055,3,11,2,0,2,3,0
569,40.7531,-73.9966,2,18,7,2,3,4,0
570,40.7745,-73.963,3,9,1,2,4,2,0
571,40.7149,-74.0063,3,5,2,0,2,3,0
572,40.7665,-73.9609,3,7,1,2,3,2,0
573,40.7608,-73.9825,2,13,7,2,2,7,0
